num_of_rooms,city,year,quarter,district,num_of_transactions,avg_price
3.5-4,Beit Shemesh,2019,2,Jerusalem,100,1407.9
4.5-5,Beit Shemesh,2019,2,Jerusalem,135,1587.3
5.5-6,Beit Shemesh,2019,2,Jerusalem,19,2029.6
1-2,Beit Shemesh,2019,3,Jerusalem,2,-
2.5-3,Beit Shemesh,2019,3,Jerusalem,336,1024.7
3.5-4,Beit Shemesh,2019,3,Jerusalem,256,1197.9
4.5-5,Beit Shemesh,2019,3,Jerusalem,225,1473.4
5.5-6,Beit Shemesh,2019,3,Jerusalem,27,1841.7
1-2,Beit Shemesh,2019,4,Jerusalem,10,1048.5
2.5-3,Beit Shemesh,2019,4,Jerusalem,571,981.5
3.5-4,Beit Shemesh,2019,4,Jerusalem,376,1259.9
4.5-5,Beit Shemesh,2019,4,Jerusalem,199,1487.1
5.5-6,Beit Shemesh,2019,4,Jerusalem,54,1704.5
1-2,Beit Shemesh,2020,1,Jerusalem,8,918.2
2.5-3,Beit Shemesh,2020,1,Jerusalem,211,1128.7
3.5-4,Beit Shemesh,2020,1,Jerusalem,160,1434.8
4.5-5,Beit Shemesh,2020,1,Jerusalem,160,1648.3
5.5-6,Beit Shemesh,2020,1,Jerusalem,27,2119.1
1-2,Beit Shemesh,2020,2,Jerusalem,8,918.2
2.5-3,Beit Shemesh,2020,2,Jerusalem,211,1128.7
3.5-4,Beit Shemesh,2020,2,Jerusalem,160,1434.8
4.5-5,Beit Shemesh,2020,2,Jerusalem,160,1648.3
5.5-6,Beit Shemesh,2020,2,Jerusalem,27,2119.1
1-2,Beit Shemesh,2020,3,Jerusalem,2,-
2.5-3,Beit Shemesh,2020,3,Jerusalem,379,1123.9
3.5-4,Beit Shemesh,2020,3,Jerusalem,226,1388.4
4.5-5,Beit Shemesh,2020,3,Jerusalem,196,1732.7
5.5-6,Beit Shemesh,2020,3,Jerusalem,53,1815.4
1-2,Beit Shemesh,2020,4,Jerusalem,2,-
2.5-3,Beit Shemesh,2020,4,Jerusalem,403,1133.1
3.5-4,Beit Shemesh,2020,4,Jerusalem,192,1472.8
4.5-5,Beit Shemesh,2020,4,Jerusalem,144,1774.9
5.5-6,Beit Shemesh,2020,4,Jerusalem,34,2178.5
1-2,Beit Shemesh,2021,1,Jerusalem,2,-
2.5-3,Beit Shemesh,2021,1,Jerusalem,403,1133.1
3.5-4,Beit Shemesh,2021,1,Jerusalem,192,1472.8
4.5-5,Beit Shemesh,2021,1,Jerusalem,144,1774.9
5.5-6,Beit Shemesh,2021,1,Jerusalem,34,2178.5
1-2,Beit Shemesh,2021,2,Jerusalem,2,-
2.5-3,Beit Shemesh,2021,2,Jerusalem,229,1186.6
3.5-4,Beit Shemesh,2021,2,Jerusalem,146,1560.8
4.5-5,Beit Shemesh,2021,2,Jerusalem,96,2000
5.5-6,Beit Shemesh,2021,2,Jerusalem,22,2374.4
1-2,Beit Shemesh,2021,3,Jerusalem,2,-
2.5-3,Beit Shemesh,2021,3,Jerusalem,229,1186.6
3.5-4,Beit Shemesh,2021,3,Jerusalem,146,1560.8
4.5-5,Beit Shemesh,2021,3,Jerusalem,96,2000
5.5-6,Beit Shemesh,2021,3,Jerusalem,22,2374.4
1-2,Beit Shemesh,2021,4,Jerusalem,2,-
2.5-3,Beit Shemesh,2021,4,Jerusalem,229,1186.6
3.5-4,Beit Shemesh,2021,4,Jerusalem,146,1560.8
4.5-5,Beit Shemesh,2021,4,Jerusalem,96,2000
5.5-6,Beit Shemesh,2021,4,Jerusalem,22,2374.4
1-2,Beit Shemesh,2022,1,Jerusalem,2,-
2.5-3,Beit Shemesh,2022,1,Jerusalem,420,1207
3.5-4,Beit Shemesh,2022,1,Jerusalem,238,1584.3
4.5-5,Beit Shemesh,2022,1,Jerusalem,144,2437.3
5.5-6,Beit Shemesh,2022,1,Jerusalem,24,3143.9
1-2,Beit Shemesh,2022,2,Jerusalem,7,1001.8
2.5-3,Beit Shemesh,2022,2,Jerusalem,243,1237.4
3.5-4,Beit Shemesh,2022,2,Jerusalem,144,1833.4
4.5-5,Beit Shemesh,2022,2,Jerusalem,82,2372.3
5.5-6,Beit Shemesh,2022,2,Jerusalem,25,3071.4
1-2,Beit Shemesh,2022,3,Jerusalem,2,-
2.5-3,Beit Shemesh,2022,3,Jerusalem,212,1428.1
3.5-4,Beit Shemesh,2022,3,Jerusalem,157,1795
4.5-5,Beit Shemesh,2022,3,Jerusalem,81,2473.5
5.5-6,Beit Shemesh,2022,3,Jerusalem,10,3271
1-2,Beit Shemesh,2022,4,Jerusalem,3,-
2.5-3,Beit Shemesh,2022,4,Jerusalem,103,1831.7
3.5-4,Beit Shemesh,2022,4,Jerusalem,101,2176.1
4.5-5,Beit Shemesh,2022,4,Jerusalem,75,2670.7
5.5-6,Beit Shemesh,2022,4,Jerusalem,7,2972
1-2,Beit Shemesh,2023,1,Jerusalem,3,-
2.5-3,Beit Shemesh,2023,1,Jerusalem,120,1808.5
3.5-4,Beit Shemesh,2023,1,Jerusalem,92,2256.6
4.5-5,Beit Shemesh,2023,1,Jerusalem,76,2822.5
5.5-6,Beit Shemesh,2023,1,Jerusalem,18,3036.9
1-2,Beit Shemesh,2023,2,Jerusalem,4,-
2.5-3,Beit Shemesh,2023,2,Jerusalem,101,1844.1
3.5-4,Beit Shemesh,2023,2,Jerusalem,81,2250.7
4.5-5,Beit Shemesh,2023,2,Jerusalem,50,3086.9
5.5-6,Beit Shemesh,2023,2,Jerusalem,22,3558.1
1-2,Beit Shemesh,2023,3,Jerusalem,2,-
2.5-3,Beit Shemesh,2023,3,Jerusalem,138,1817.2
3.5-4,Beit Shemesh,2023,3,Jerusalem,135,2208
4.5-5,Beit Shemesh,2023,3,Jerusalem,108,2780.2
5.5-6,Beit Shemesh,2023,3,Jerusalem,37,3430.6
1-2,Beit Shemesh,2023,4,Jerusalem,3,-
2.5-3,Beit Shemesh,2023,4,Jerusalem,76,1812.3
3.5-4,Beit Shemesh,2023,4,Jerusalem,85,2237.2
4.5-5,Beit Shemesh,2023,4,Jerusalem,64,2821
5.5-6,Beit Shemesh,2023,4,Jerusalem,20,3318.6
1-2,Beni Brak,2019,1,Center,25,1176.3
2.5-3,Beni Brak,2019,1,Center,130,1402.5
3.5-4,Beni Brak,2019,1,Center,62,1936
4.5-5,Beni Brak,2019,1,Center,18,2250.2
5.5-6,Beni Brak,2019,1,Center,2,-
1-2,Beni Brak,2019,2,Center,35,1152.9
2.5-3,Beni Brak,2019,2,Center,98,1418.2
3.5-4,Beni Brak,2019,2,Center,61,1874.2
4.5-5,Beni Brak,2019,2,Center,25,2226.6
5.5-6,Beni Brak,2019,2,Center,6,3135.8
1-2,Beni Brak,2019,3,Center,41,1167
2.5-3,Beni Brak,2019,3,Center,138,1436.6
3.5-4,Beni Brak,2019,3,Center,81,1870.9
4.5-5,Beni Brak,2019,3,Center,27,2410.6
5.5-6,Beni Brak,2019,3,Center,4,-
1-2,Beni Brak,2019,4,Center,27,1064.3
2.5-3,Beni Brak,2019,4,Center,128,1434.3
3.5-4,Beni Brak,2019,4,Center,73,1839.4
4.5-5,Beni Brak,2019,4,Center,21,2345.3
5.5-6,Beni Brak,2019,4,Center,1,-
1-2,Beni Brak,2020,1,Center,32,1219.6
2.5-3,Beni Brak,2020,1,Center,116,1480.6
3.5-4,Beni Brak,2020,1,Center,71,1888
4.5-5,Beni Brak,2020,1,Center,22,2354
5.5-6,Beni Brak,2020,1,Center,5,-
1-2,Beni Brak,2020,2,Center,35,1116.9
2.5-3,Beni Brak,2020,2,Center,80,1495.2
3.5-4,Beni Brak,2020,2,Center,49,1832.8
4.5-5,Beni Brak,2020,2,Center,23,2512
5.5-6,Beni Brak,2020,2,Center,3,-
1-2,Beni Brak,2020,3,Center,35,1116.9
2.5-3,Beni Brak,2020,3,Center,80,1495.2
3.5-4,Beni Brak,2020,3,Center,49,1832.8
4.5-5,Beni Brak,2020,3,Center,23,2512
5.5-6,Beni Brak,2020,3,Center,3,-
1-2,Beni Brak,2020,4,Center,35,1116.9
2.5-3,Beni Brak,2020,4,Center,80,1495.2
3.5-4,Beni Brak,2020,4,Center,49,1832.8
4.5-5,Beni Brak,2020,4,Center,23,2512
5.5-6,Beni Brak,2020,4,Center,3,-
1-2,Beni Brak,2021,1,Center,35,1116.9
2.5-3,Beni Brak,2021,1,Center,80,1495.2
3.5-4,Beni Brak,2021,1,Center,49,1832.8
4.5-5,Beni Brak,2021,1,Center,23,2512
5.5-6,Beni Brak,2021,1,Center,3,-
1-2,Beni Brak,2021,2,Center,55,1281.6
2.5-3,Beni Brak,2021,2,Center,173,1471.3
3.5-4,Beni Brak,2021,2,Center,115,1869.8
4.5-5,Beni Brak,2021,2,Center,32,2382.9
5.5-6,Beni Brak,2021,2,Center,4,-
1-2,Beni Brak,2021,3,Center,38,1260.2
2.5-3,Beni Brak,2021,3,Center,109,1525
3.5-4,Beni Brak,2021,3,Center,63,1951.5
4.5-5,Beni Brak,2021,3,Center,35,2446.8
5.5-6,Beni Brak,2021,3,Center,1,-
1-2,Beni Brak,2021,4,Center,38,1260.2
2.5-3,Beni Brak,2021,4,Center,109,1525
3.5-4,Beni Brak,2021,4,Center,63,1951.5
4.5-5,Beni Brak,2021,4,Center,35,2446.8
5.5-6,Beni Brak,2021,4,Center,1,-
1-2,Beni Brak,2022,1,Center,62,1335.4
2.5-3,Beni Brak,2022,1,Center,197,1667.1
3.5-4,Beni Brak,2022,1,Center,97,2131.5
4.5-5,Beni Brak,2022,1,Center,38,2782.5
5.5-6,Beni Brak,2022,1,Center,6,3133.3
1-2,Beni Brak,2022,2,Center,40,1451.4
2.5-3,Beni Brak,2022,2,Center,142,1658.1
3.5-4,Beni Brak,2022,2,Center,86,2207.5
4.5-5,Beni Brak,2022,2,Center,36,3119.4
5.5-6,Beni Brak,2022,2,Center,4,-
1-2,Beni Brak,2022,3,Center,36,1417.6
2.5-3,Beni Brak,2022,3,Center,126,1729.7
3.5-4,Beni Brak,2022,3,Center,72,2357.8
4.5-5,Beni Brak,2022,3,Center,54,2949.3
5.5-6,Beni Brak,2022,3,Center,4,-
1-2,Beni Brak,2022,4,Center,24,1364.5
2.5-3,Beni Brak,2022,4,Center,97,1888.9
3.5-4,Beni Brak,2022,4,Center,77,2407.4
4.5-5,Beni Brak,2022,4,Center,41,3109.6
5.5-6,Beni Brak,2022,4,Center,3,-
1-2,Beni Brak,2023,1,Center,28,1464.7
2.5-3,Beni Brak,2023,1,Center,124,1940.8
3.5-4,Beni Brak,2023,1,Center,82,2422.3
4.5-5,Beni Brak,2023,1,Center,44,3214.6
5.5-6,Beni Brak,2023,1,Center,18,3626.6
1-2,Beni Brak,2023,2,Center,20,1474.7
2.5-3,Beni Brak,2023,2,Center,101,1812.8
3.5-4,Beni Brak,2023,2,Center,65,2457.3
4.5-5,Beni Brak,2023,2,Center,32,3069
5.5-6,Beni Brak,2023,2,Center,7,3456.4
1-2,Beni Brak,2023,3,Center,16,1546.7
2.5-3,Beni Brak,2023,3,Center,113,1971.1
3.5-4,Beni Brak,2023,3,Center,70,2544.7
4.5-5,Beni Brak,2023,3,Center,19,3134.6
5.5-6,Beni Brak,2023,3,Center,9,3971.9
1-2,Beni Brak,2023,4,Center,17,1537.2
2.5-3,Beni Brak,2023,4,Center,64,1938.7
3.5-4,Beni Brak,2023,4,Center,54,2502
4.5-5,Beni Brak,2023,4,Center,13,3179.5
5.5-6,Beni Brak,2023,4,Center,10,3187
1-2,Bat Yam,2019,1,Center,60,1123.1
2.5-3,Bat Yam,2019,1,Center,198,1340.4
3.5-4,Bat Yam,2019,1,Center,73,1978.4
4.5-5,Bat Yam,2019,1,Center,29,2735.4
5.5-6,Bat Yam,2019,1,Center,4,-
1-2,Bat Yam,2019,2,Center,60,1123.1
2.5-3,Bat Yam,2019,2,Center,198,1340.4
3.5-4,Bat Yam,2019,2,Center,73,1978.4
4.5-5,Bat Yam,2019,2,Center,29,2735.4
5.5-6,Bat Yam,2019,2,Center,4,-
1-2,Bat Yam,2019,3,Center,62,1070.6
2.5-3,Bat Yam,2019,3,Center,199,1372
3.5-4,Bat Yam,2019,3,Center,99,1942
4.5-5,Bat Yam,2019,3,Center,25,2571.9
5.5-6,Bat Yam,2019,3,Center,0,-
1-2,Bat Yam,2019,4,Center,47,1140
2.5-3,Bat Yam,2019,4,Center,183,1337.2
3.5-4,Bat Yam,2019,4,Center,73,1979.4
4.5-5,Bat Yam,2019,4,Center,28,2701.1
5.5-6,Bat Yam,2019,4,Center,0,-
1-2,Bat Yam,2020,1,Center,49,1158.2
2.5-3,Bat Yam,2020,1,Center,153,1357.4
3.5-4,Bat Yam,2020,1,Center,80,2022.2
4.5-5,Bat Yam,2020,1,Center,17,2902.9
5.5-6,Bat Yam,2020,1,Center,-,-
1-2,Bat Yam,2020,2,Center,19,1102.5
2.5-3,Bat Yam,2020,2,Center,105,1402.3
3.5-4,Bat Yam,2020,2,Center,43,1936.9
4.5-5,Bat Yam,2020,2,Center,20,2647.2
5.5-6,Bat Yam,2020,2,Center,1,-
1-2,Bat Yam,2020,3,Center,59,1125.1
2.5-3,Bat Yam,2020,3,Center,185,1377.5
3.5-4,Bat Yam,2020,3,Center,80,1899.4
4.5-5,Bat Yam,2020,3,Center,36,2747.3
5.5-6,Bat Yam,2020,3,Center,1,-
1-2,Bat Yam,2020,4,Center,40,1200.3
2.5-3,Bat Yam,2020,4,Center,155,1471.2
3.5-4,Bat Yam,2020,4,Center,83,1989
4.5-5,Bat Yam,2020,4,Center,45,2943.2
5.5-6,Bat Yam,2020,4,Center,1,-
1-2,Bat Yam,2021,1,Center,79,1182.4
2.5-3,Bat Yam,2021,1,Center,317,1540.1
3.5-4,Bat Yam,2021,1,Center,202,2089.9
4.5-5,Bat Yam,2021,1,Center,83,2750.1
5.5-6,Bat Yam,2021,1,Center,13,3121.2
1-2,Bat Yam,2021,2,Center,91,1253.4
2.5-3,Bat Yam,2021,2,Center,261,1555.6
3.5-4,Bat Yam,2021,2,Center,142,2080.5
4.5-5,Bat Yam,2021,2,Center,86,2826.6
5.5-6,Bat Yam,2021,2,Center,22,3108.3
1-2,Bat Yam,2021,3,Center,91,1253.4
2.5-3,Bat Yam,2021,3,Center,261,1555.6
3.5-4,Bat Yam,2021,3,Center,142,2080.5
4.5-5,Bat Yam,2021,3,Center,86,2826.6
5.5-6,Bat Yam,2021,3,Center,22,3108.3
1-2,Bat Yam,2021,4,Center,58,1270.7
2.5-3,Bat Yam,2021,4,Center,235,1619.7
3.5-4,Bat Yam,2021,4,Center,177,2061.8
4.5-5,Bat Yam,2021,4,Center,58,2889.5
5.5-6,Bat Yam,2021,4,Center,2,-
1-2,Bat Yam,2022,1,Center,58,1401.2
2.5-3,Bat Yam,2022,1,Center,164,1753.4
3.5-4,Bat Yam,2022,1,Center,98,2378.9
4.5-5,Bat Yam,2022,1,Center,45,3240.1
5.5-6,Bat Yam,2022,1,Center,1,-
1-2,Bat Yam,2022,2,Center,58,1401.2
2.5-3,Bat Yam,2022,2,Center,164,1753.4
3.5-4,Bat Yam,2022,2,Center,98,2378.9
4.5-5,Bat Yam,2022,2,Center,45,3240.1
5.5-6,Bat Yam,2022,2,Center,1,-
1-2,Bat Yam,2022,3,Center,69,1585
2.5-3,Bat Yam,2022,3,Center,189,1804.1
3.5-4,Bat Yam,2022,3,Center,120,2605.6
4.5-5,Bat Yam,2022,3,Center,74,3675.2
5.5-6,Bat Yam,2022,3,Center,4,-
1-2,Bat Yam,2022,4,Center,51,1631
2.5-3,Bat Yam,2022,4,Center,165,1959.3
3.5-4,Bat Yam,2022,4,Center,103,2823.2
4.5-5,Bat Yam,2022,4,Center,45,3740.8
5.5-6,Bat Yam,2022,4,Center,3,-
1-2,Bat Yam,2023,1,Center,279,1517.8
2.5-3,Bat Yam,2023,1,Center,776,1783.9
3.5-4,Bat Yam,2023,1,Center,522,2476.4
4.5-5,Bat Yam,2023,1,Center,223,3442.3
5.5-6,Bat Yam,2023,1,Center,11,4833.3
1-2,Bat Yam,2023,2,Center,47,1542.5
2.5-3,Bat Yam,2023,2,Center,159,2019
3.5-4,Bat Yam,2023,2,Center,103,2549.3
4.5-5,Bat Yam,2023,2,Center,43,3594.8
5.5-6,Bat Yam,2023,2,Center,6,4888.5
1-2,Bat Yam,2023,3,Center,45,1485.2
2.5-3,Bat Yam,2023,3,Center,164,1862.3
3.5-4,Bat Yam,2023,3,Center,89,2552.3
4.5-5,Bat Yam,2023,3,Center,56,3667
5.5-6,Bat Yam,2023,3,Center,6,4135.3
1-2,Bat Yam,2023,4,Center,29,1541.7
2.5-3,Bat Yam,2023,4,Center,98,2002
3.5-4,Bat Yam,2023,4,Center,33,2644.3
4.5-5,Bat Yam,2023,4,Center,23,3533.3
5.5-6,Bat Yam,2023,4,Center,2,-
1-2,Holon,2019,1,Center,30,1107.8
2.5-3,Holon,2019,1,Center,179,1289.5
3.5-4,Holon,2019,1,Center,140,1775.6
4.5-5,Holon,2019,1,Center,83,2164.2
5.5-6,Holon,2019,1,Center,7,2984.2
1-2,Holon,2019,2,Center,31,1095.8
2.5-3,Holon,2019,2,Center,179,1315.2
3.5-4,Holon,2019,2,Center,131,1737.5
4.5-5,Holon,2019,2,Center,104,2416.6
5.5-6,Holon,2019,2,Center,15,2927.2
1-2,Holon,2019,3,Center,30,985.1
2.5-3,Holon,2019,3,Center,189,1291.6
3.5-4,Holon,2019,3,Center,139,1733.7
4.5-5,Holon,2019,3,Center,105,2500.9
5.5-6,Holon,2019,3,Center,18,2834.5
1-2,Holon,2019,4,Center,25,1113.4
2.5-3,Holon,2019,4,Center,156,1369.1
3.5-4,Holon,2019,4,Center,114,1879.2
4.5-5,Holon,2019,4,Center,73,2467.8
5.5-6,Holon,2019,4,Center,21,2792.7
1-2,Holon,2020,1,Center,28,1021.9
2.5-3,Holon,2020,1,Center,171,1373.8
3.5-4,Holon,2020,1,Center,141,1779.3
4.5-5,Holon,2020,1,Center,110,2398.6
5.5-6,Holon,2020,1,Center,14,2805.4
1-2,Holon,2020,2,Center,15,1080.3
2.5-3,Holon,2020,2,Center,108,1360
3.5-4,Holon,2020,2,Center,195,2077.1
4.5-5,Holon,2020,2,Center,68,2544.1
5.5-6,Holon,2020,2,Center,17,2787.6
1-2,Holon,2020,3,Center,28,1066.8
2.5-3,Holon,2020,3,Center,160,1352.6
3.5-4,Holon,2020,3,Center,111,1817.9
4.5-5,Holon,2020,3,Center,78,2501.6
5.5-6,Holon,2020,3,Center,11,3174.5
1-2,Holon,2020,4,Center,22,1109.7
2.5-3,Holon,2020,4,Center,144,1372.7
3.5-4,Holon,2020,4,Center,138,1843.2
4.5-5,Holon,2020,4,Center,75,2487.4
5.5-6,Holon,2020,4,Center,14,2890.9
1-2,Holon,2021,1,Center,52,1091.6
2.5-3,Holon,2021,1,Center,189,1403.5
3.5-4,Holon,2021,1,Center,167,1864.3
4.5-5,Holon,2021,1,Center,119,2483.5
5.5-6,Holon,2021,1,Center,14,3366.1
1-2,Holon,2021,2,Center,50,1133.8
2.5-3,Holon,2021,2,Center,238,1417.7
3.5-4,Holon,2021,2,Center,158,1930.5
4.5-5,Holon,2021,2,Center,96,2595.6
5.5-6,Holon,2021,2,Center,23,3330.8
1-2,Holon,2021,3,Center,44,1174.2
2.5-3,Holon,2021,3,Center,206,1415.3
3.5-4,Holon,2021,3,Center,170,1935.5
4.5-5,Holon,2021,3,Center,112,2535.2
5.5-6,Holon,2021,3,Center,9,3346.8
1-2,Holon,2021,4,Center,50,1154.7
2.5-3,Holon,2021,4,Center,226,1453.1
3.5-4,Holon,2021,4,Center,185,1997.7
4.5-5,Holon,2021,4,Center,113,2631.3
5.5-6,Holon,2021,4,Center,17,4014.4
1-2,Holon,2022,1,Center,49,1275.7
2.5-3,Holon,2022,1,Center,220,1549.1
3.5-4,Holon,2022,1,Center,166,2098.6
4.5-5,Holon,2022,1,Center,132,2796.1
5.5-6,Holon,2022,1,Center,13,3337.9
1-2,Holon,2022,2,Center,49,1275.7
2.5-3,Holon,2022,2,Center,220,1549.1
3.5-4,Holon,2022,2,Center,166,2098.6
4.5-5,Holon,2022,2,Center,132,2796.1
5.5-6,Holon,2022,2,Center,13,3337.9
1-2,Holon,2022,3,Center,25,1188.5
2.5-3,Holon,2022,3,Center,122,1678.6
3.5-4,Holon,2022,3,Center,102,2132.2
4.5-5,Holon,2022,3,Center,63,2931.9
5.5-6,Holon,2022,3,Center,6,4078.6
1-2,Holon,2022,4,Center,18,1453.1
2.5-3,Holon,2022,4,Center,111,1727.3
3.5-4,Holon,2022,4,Center,65,2248.9
4.5-5,Holon,2022,4,Center,53,3004.1
5.5-6,Holon,2022,4,Center,4,-
1-2,Holon,2023,1,Center,20,1189.5
2.5-3,Holon,2023,1,Center,87,1667.3
3.5-4,Holon,2023,1,Center,113,2315.9
4.5-5,Holon,2023,1,Center,42,2645.4
5.5-6,Holon,2023,1,Center,2,-
1-2,Holon,2023,2,Center,32,1375.5
2.5-3,Holon,2023,2,Center,82,1649.8
3.5-4,Holon,2023,2,Center,81,2181.7
4.5-5,Holon,2023,2,Center,36,3171.9
5.5-6,Holon,2023,2,Center,5,-
1-2,Holon,2023,3,Center,18,1588.8
2.5-3,Holon,2023,3,Center,114,1773.8
3.5-4,Holon,2023,3,Center,96,2117.7
4.5-5,Holon,2023,3,Center,57,3263.4
5.5-6,Holon,2023,3,Center,6,4380
1-2,Holon,2023,4,Center,13,1316.9
2.5-3,Holon,2023,4,Center,57,1620.9
3.5-4,Holon,2023,4,Center,50,2232.4
4.5-5,Holon,2023,4,Center,17,2954.7
5.5-6,Holon,2023,4,Center,5,-
1-2,Herzliya,2022,1,Center,,
2.5-3,Herzliya,2022,1,Center,,
3.5-4,Herzliya,2022,1,Center,,
4.5-5,Herzliya,2022,1,Center,,
5.5-6,Herzliya,2022,1,Center,,
1-2,Herzliya,2022,2,Center,,
2.5-3,Herzliya,2022,2,Center,,
3.5-4,Herzliya,2022,2,Center,,
4.5-5,Herzliya,2022,2,Center,,
5.5-6,Herzliya,2022,2,Center,,
1-2,Herzliya,2022,3,Center,,
2.5-3,Herzliya,2022,3,Center,,
3.5-4,Herzliya,2022,3,Center,,
4.5-5,Herzliya,2022,3,Center,,
5.5-6,Herzliya,2022,3,Center,,
1-2,Herzliya,2022,4,Center,,
2.5-3,Herzliya,2022,4,Center,,
3.5-4,Herzliya,2022,4,Center,,
4.5-5,Herzliya,2022,4,Center,,
5.5-6,Herzliya,2022,4,Center,,
1-2,Herzliya,2023,1,Center,5,1634.1
2.5-3,Herzliya,2023,1,Center,36,2805.2
3.5-4,Herzliya,2023,1,Center,37,3405.3
